Special Air Quality Statements and Smog and Air Health Advisories ( 2015 to 2024 *) 
Air Quality Forecast Region ,SAQS_2024,SAHA_2024,SAQS_2023,SAHA_2023,SAQS_2022,SAHA_2022,SAQS_2021,SAHA_2021,SAQS_2020,SAHA_2020,SAQS_2019,SAHA_2019,SAQS_2018,SAHA_2018,SAQS_2017,SAHA_2017,SAQS_2016,SAHA_2016,SAQS_2015,SAHA_2015
Algonquin,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Atikokan - Upsala - Quetico,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Attawapiskat,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Bancroft - Bon Echo Park,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrie - Orillia - Midland,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Belleville - Quinte - Northumberland,0,0,4,0,1,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0
Big Trout Lake - Sachigo Lake,0,0,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
Brockville - Leeds and Grenville,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burk's Falls - Bayfield Inlet,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Chapleau - Gogama,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
City of Hamilton,0,0,5,0,2,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0
City of Ottawa,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Thunder Bay,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
City of Toronto,0,0,5,0,3,0,2,0,2,0,1,0,2,0,2,0,3,1,3,0
Cornwall - Morrisburg,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dryden - Ignace,0,0,4,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0
Dufferin - Innisfil ,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunnville - Caledonia - Haldimand,0,0,4,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0
Elgin,0,0,3,0,2,0,2,0,1,0,0,0,4,1,0,0,2,0,0,0
Elliot Lake - Ranger Lake ,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Frances - Rainy Lake,0,0,2,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,1,0
